id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9935894,Spacious living area near Q and 6 train! :),19242683,Jennifer,Manhattan,East Harlem,40.78929,-73.94178,Shared room,70,1,4,2016-12-27,0.09,1,0
30941095,Minutes to Manhattan,69713712,Trevor,Bronx,Hunts Point,40.81389,-73.88914,Private room,70,2,1,2018-12-30,0.16,1,342
18992110,Charming Nolita Apartment,12420115,Constanze,Manhattan,Lower East Side,40.7197,-73.99331,Entire home/apt,170,1,16,2019-02-18,0.63,1,0
26780658,Cozy gem in Greenwich Village @ border of SoHo,27960761,Christopher,Manhattan,Greenwich Village,40.72704,-73.99672,Entire home/apt,199,2,9,2019-04-23,0.82,3,0
7158417,Dov & Naomi's Beautiful Apt.,15878233,Dov,Brooklyn,Kensington,40.64456,-73.97723,Entire home/apt,115,4,3,2018-07-31,0.09,1,0
24356861,COZY & BEAUTIFUL 1bdrm in Upper NYC,6517654,Erin,Manhattan,Washington Heights,40.8385,-73.94288,Entire home/apt,125,3,6,2019-05-29,0.42,1,0
9759444,Beautiful apartment in Park Slope,13342524,Carola,Brooklyn,South Slope,40.66352,-73.98488,Entire home/apt,100,3,6,2017-01-04,0.14,1,0
11696801,Large Private Room in 3 bdr apt-East Village,33214549,Alexandre,Manhattan,East Village,40.72573,-73.98406,Private room,119,1,1,2019-04-29,0.42,5,0
15789023,Stay in a Private Room Close to Manhattan :),8076496,Agnes,Queens,Astoria,40.76982,-73.93501,Private room,60,4,6,2019-06-06,0.28,1,96
34473487,Sophisticated 3 Bedroom/ 2Bath in Union Square NYC,231548638,Emile,Manhattan,East Village,40.73081,-73.98876,Entire home/apt,549,5,8,2019-06-26,4.29,1,155
31802275,Coral Harlem Studio,8895249,Kenya,Manhattan,Harlem,40.82297,-73.93948,Private room,54,2,12,2019-06-26,2.83,1,129
16027606,Parlour Apartment in PreWar Home,104262874,James,Brooklyn,Bedford-Stuyvesant,40.67776,-73.92754,Shared room,40,4,17,2018-10-08,0.53,1,0
34976973,JFK park view,245457246,Nurul,Queens,South Ozone Park,40.67101,-73.78943,Entire home/apt,248,2,2,2019-06-23,1.3,1,354
27632141,"Cozy BK Home,Near JMZ lines,15-25 min to Manhattan",70997341,Kriti,Brooklyn,Bushwick,40.69768,-73.93511,Private room,59,2,26,2019-06-18,2.39,1,0
11438189,Everything you need in NYC! 3BR,4422962,Remo,Brooklyn,Bedford-Stuyvesant,40.67834,-73.92442,Entire home/apt,135,30,155,2019-05-21,3.97,1,281
6869940,Furnished Room in a Spacious Apt,731601,Idil,Queens,Astoria,40.77199,-73.93159,Private room,55,15,1,2015-08-13,0.02,2,0
34254505,"2 Bedroom, sleeps 6, Luxury apt, outside of NYC!",254637078,Nicholas,Brooklyn,Greenpoint,40.73339,-73.95271,Entire home/apt,200,1,2,2019-06-23,2.0,1,229
29779831,Bedstuy Artists Quarter (tower corner room),18272280,Louis,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94179,Private room,43,1,10,2019-04-28,1.33,2,2
2012104,"Spacious haven near Riverside park, subway, and CU",10352213,Nicole,Manhattan,Morningside Heights,40.81615,-73.96156,Private room,55,2,19,2018-01-08,0.79,2,0
4823910,Spacious and light-filled Manhattan apartment,10503302,Florence,Manhattan,Upper West Side,40.79228,-73.97414,Entire home/apt,117,14,0,,,1,15
28732998,Quintessential Tribeca Loft,3612407,Mag,Manhattan,Tribeca,40.7172,-74.00675,Entire home/apt,295,3,3,2018-12-08,0.33,1,17
30694768,A Relaxing Place in Inwood,188050970,Walkiria,Manhattan,Inwood,40.85962,-73.92971,Private room,65,1,25,2019-06-26,3.89,1,86
1684053,Arverne By The Bay Private Room & Bathroom,762610,Christopher,Queens,Arverne,40.59684,-73.79449,Private room,35,2,201,2019-06-18,3.28,2,88
28584472,Art gallery apartment in the center of Manhattan,50462097,Jirayus,Manhattan,Hell's Kitchen,40.76435,-73.9875,Entire home/apt,199,2,35,2019-07-05,4.29,1,200
12290567,Clean studio apartment for sleeping,66240027,Bianca,Brooklyn,Prospect-Lefferts Gardens,40.66158,-73.95999,Entire home/apt,40,1,2,2016-04-28,0.05,1,0
35062211,New Cozy Suite in Private home on quiet street .,30267389,Chandraki,Bronx,Wakefield,40.89323,-73.85215,Private room,160,2,0,,,1,364
658008,Secret Garden,3317183,Claire,Brooklyn,Bedford-Stuyvesant,40.6883,-73.95375,Entire home/apt,75,3,163,2019-06-19,1.96,2,218
15968041,Wyndham Midtown 45 King Suite Times Square NYC,57574248,Christine,Manhattan,Midtown,40.75361,-73.97215,Entire home/apt,175,3,0,,,3,0
16364666,Brand New &Cozy  Room Close to Subway Station,61042,Marlon,Manhattan,Harlem,40.82112,-73.95482,Private room,45,4,22,2018-12-31,0.71,6,0
12223159,Bright Modern Greenwich Village 1BR,9545279,Mitchell,Manhattan,Greenwich Village,40.72837,-73.99952,Entire home/apt,210,1,58,2019-07-06,1.49,1,2
13348000,"Home*Sweet*Home
Quiet neighborhood",69546772,Dave And Shaceline,Bronx,Throgs Neck,40.83166,-73.81747,Entire home/apt,89,1,192,2019-06-26,5.15,1,303
25234555,Adorable Room in Spacious Brooklyn Home,116291711,Maggie,Brooklyn,Crown Heights,40.66918,-73.9475,Private room,40,1,3,2018-06-17,0.22,1,0
2088725,Beautiful renovated 1 bedroom Apt.,10661536,Edgar,Brooklyn,Gowanus,40.66983,-73.9904,Entire home/apt,124,4,52,2019-06-30,0.8,1,147
4412533,cozy tucked away in el barrio,22904933,Charlene,Manhattan,East Harlem,40.79765,-73.94022,Private room,79,3,56,2019-05-27,1.1,2,90
32549565,Sunny Chelsea Loft,10414780,Matan,Manhattan,Chelsea,40.74149,-73.99701,Entire home/apt,139,3,4,2019-05-28,1.17,1,58
3898329,Best views of Manhattan!,20177186,Ted,Manhattan,Financial District,40.70943,-74.01405,Entire home/apt,200,2,6,2015-10-12,0.1,1,0
30747562,BedStuy cozy + convenient private room and bath,2581995,Layla,Brooklyn,Bedford-Stuyvesant,40.68061,-73.91693,Private room,37,1,29,2019-06-19,4.58,2,10
12955281,Comfortable 1-2 bed space close to trains,25733361,Jon,Brooklyn,Bedford-Stuyvesant,40.70017,-73.94357,Entire home/apt,115,3,2,2016-07-05,0.05,1,0
32490805,Spacious Apartment Near Central Park (Manhattan),151460365,King-Lyndon,Manhattan,East Harlem,40.7984,-73.94267,Entire home/apt,100,2,16,2019-06-26,3.58,1,8
32308362,Quiet Mid-Century Modern Apartment,99763169,Ashlin,Manhattan,Upper West Side,40.77995,-73.98464,Entire home/apt,220,2,3,2019-04-29,0.62,1,36
737126,Williamsburg Loft!! Bedford L 1blk!,3847832,Eric,Brooklyn,Williamsburg,40.71714,-73.95447,Shared room,195,2,80,2017-05-26,0.98,1,364
2461540,Big BR 15 min away from Manhattan,12587147,Joao,Queens,Astoria,40.75799,-73.92006,Private room,75,7,186,2019-06-10,2.93,1,193
36394726,1 bed available in a 2bd/1ba Bushwick Gem,239638986,Marné,Brooklyn,Bushwick,40.69287,-73.92289,Private room,125,1,0,,,1,175
30531246,"Luxury Apt, 1 BR, Stainless Steel Appliances",226201658,Vanessa,Brooklyn,Williamsburg,40.70755,-73.94892,Entire home/apt,90,30,2,2019-04-05,0.45,3,314
32936398,UES Apartment near Central Park(20 mins TimesSq),239658197,Shawn,Manhattan,East Harlem,40.79153,-73.94138,Entire home/apt,180,1,4,2019-06-30,1.54,1,32
13622454,"Large 1 Bed/1 Bath by Central Park, Hunter College",78912246,Priya,Manhattan,Upper East Side,40.76711,-73.96177,Entire home/apt,199,1,3,2016-10-01,0.09,1,0
30388284,"Cozy, Bright 2BR in Hip LES w/ Large terrace by Blueground",107434423,Blueground,Manhattan,Lower East Side,40.71856,-73.99061,Entire home/apt,314,90,0,,,232,208
1101224,THE PUTNAM,2571,Teedo,Brooklyn,Bedford-Stuyvesant,40.68674,-73.93845,Entire home/apt,182,9,27,2019-05-21,0.37,1,23
7181422,Cute 1br in Williamsburg,4993337,Stephanie,Brooklyn,Williamsburg,40.71044,-73.953,Entire home/apt,110,1,2,2015-08-10,0.04,1,0
34415448,Wall St - FiDi - Art Deco Luxury Apartment,2126138,Alwin,Manhattan,Financial District,40.70471,-74.0087,Entire home/apt,160,2,3,2019-06-23,2.0,1,8
732700,Centrally located and spacious apt.,3815537,Reshma,Manhattan,Midtown,40.75154,-73.97104,Entire home/apt,106,7,10,2019-07-06,10.0,1,0
31989484,Blissful Balcony Room,237421509,Lisa,Brooklyn,Bedford-Stuyvesant,40.67825,-73.92346,Private room,45,1,2,2019-03-07,0.39,2,0
1551044,Nexus of the Universe!,8261145,Tommy,Manhattan,Lower East Side,40.72317,-73.9929,Entire home/apt,175,3,105,2019-06-19,1.49,1,274
34313601,Large 1 BR *** Featured on This Old House,29659188,Kevin And Karen,Brooklyn,Prospect Heights,40.6774,-73.96864,Entire home/apt,279,2,11,2019-07-06,5.69,1,112
20529760,Excellent Double Room,1526757,Lay,Brooklyn,Bedford-Stuyvesant,40.68609,-73.9448,Private room,70,2,45,2019-06-21,1.96,3,350
4492821,"Great location, spacious apt.",743716,Santiago,Brooklyn,Boerum Hill,40.68348,-73.98087,Entire home/apt,120,3,3,2016-01-05,0.05,1,0
30423571,Bushwick Bedroom,228420131,Jonathan,Brooklyn,Bushwick,40.69456,-73.90714,Private room,35,2,7,2019-05-31,1.07,1,35
3344177,Park Slope Haven,10457196,Richard,Brooklyn,South Slope,40.6674,-73.98273,Entire home/apt,200,30,4,2019-06-28,0.18,11,282
13926549,Beautiful 1 Bedroom 2 blocks from Central Park,82719112,Adam,Manhattan,Upper West Side,40.78296,-73.97743,Entire home/apt,250,1,1,2016-08-14,0.03,1,0
