order_id,order_date,ship_date,region,city,category,subcategory,sales_channel,customer_type,quantity,unit_price,discount,revenue,returned,notes
ORD-1001,2025-04-04,2025/04/11,Midwest,Chicago,Furniture,Chair,In-Store ,Consumer,3,125.71,,377.12 USD,Y,.
ORD-1002,04-11-2025,2025-04-14,West,San Diego,Office Supplies,Paper,Online,Home Office,1,$14.04,15 percent,11.93,FALSE,priority
ORD-1002,4/11/25,Apr 14 2025,West,San Diego,Technology,Laptop,Online,Home Office,1,902.88,0.05,857.74 USD,No,
ORD-1002,4/11/25,2025/04/14,West,SanDiego,Office-Supplies,Paper,Online,Home Office,1 units,11.36,0,11,no,gift
ORD-1003,2/25/25,3/1/25,South,Dallas,Office Supplies,Binder,Online,Home Office,.,6.92,0.10,12.46 USD,Yes,
ORD-1004,Mar 02 2025,2025-03-08,South,Dallas,Office Supplies,Binder,In-Store,Consumer,3,7.60,0,22.81 USD,FALSE,late addr fix
ORD-1004,2025-03-02,Mar 08 2025,South,Dallas,Tech,Headphones,In-Store,Consumer,1,81.07,0,$81.07,FALSE,rush
ORD-1004,2025-03-02,2025-03-08,South,Dallas,Office Supplies,Paper,In store,Consumer,3,11.43,0.05,unknown,no,priority
ORD-1005,02-14-2025,2025-02-16,West,Phoenix,Office Supplies,Pen,Phone,Corporate,2,3.47,10%,$6.24,no,priority
ORD-1005,2/14/25,2/16/25,West,phoenix,Office Supplies,Binder,Phone,Corporate,2,9.34,15 percent,$15.87,No,
ORD-1005,2025-02-14,2/16/25,West ,Phoenix,office_supplies,Binder,Phone,Corporate,2 units,$9.35,10%,unknown,No,
ORD-1006,3/31/25,2025/04/07,South ,Nashville,Technology,Laptop,Online,Consumer,.,$931.30,none,"USD 1,862.59",FALSE,priority
ORD-1007,5/4/25,2025-05-09,Midwest,Chicago,Office Supplies ,Pen,In-Store,Consumer, 4 ,$3.19,0.15,$10.86,No,.
ORD-1007,May 04 2025,May 09 2025,Mid West,Chicago,Office Supplies,Pen,instore,Consumer,one,2.92,0.10,2.63,No,
ORD-1008,Feb 05 2025,Feb 06 2025,SOUTH,Houston,Furniture,Chair,Web,Consumer,2, 140.48 ,15%,$238.82,No,late addr fix
ORD-1009,Jan 28 2025,2025/01/29,South,Houston,Office Supplies,Pen,online,Consumer,3,USD 2.66,0.05,$7.58,No,
ORD-1010,04-07-2025,4/11/25,Mid West,milwaukee,Office Supplies,Paper,In-Store,Corporate,4,11, 5% ,42.51 USD,N,
ORD-1010,04-07-2025,2025-04-11,Mid West,Milwaukee,Technology,Laptop,In-Store,corporate,1 units,898.34,, 898.34 ,N,priority
ORD-1011,5/15/25,2025/05/19,Northeast,Philadelphia,Office Supplies,Paper,Online,Corporate,.,10.94, 15% ,$27.89,FALSE,
ORD-1011,2025-05-15,2025-05-19,Northeast,Philadelphia,Office Supplies,Binder,Online,corporate,4,$7.64,0,31,no,priority
ORD-1012,2025-01-04,Jan 11 2025,West,Phoenix,Office Supplies,Binder,Online,Corporate ,1,8,0.05,$7.80,no,
ORD-1012,01-04-2025,Jan 11 2025,West,Phoenix,office_supplies,Paper,Online,Corporate,1,10.87,none,10.87,No,priority
ORD-1013,2025-07-06,2025/07/10,West,Portland,Furnitures,Desk,In-Store,Consumer,1 units,302,.10,$272.10,—,
ORD-1014,Jan 03 2025,2025/01/05,South,Atlanta,Office Supplies,Pen,In-Store,Corporate,2,2.58,0,$5.17,FALSE,late addr fix
