student_id,section,prior_gpa,study_hours_week,attendance_pct,sleep_hours,caffeine_mg_day,stress_score,practice_quiz_avg,final_exam_score
S001,Section A,2.5,8.2,89.0,7.0,235,9.4,82.2,49.2
S002,Section A,2.49,1.0,88.1,8.5,105,7.5,88.6,57.1
S003,Section A,2.77,8.1,82.1,7.4,272,8.3,79.8,51.9
S004,Section A,2.34,1.0,92.6,9.5,146,8.3,83.4,40.9
S005,Section A,2.47,5.8,83.8,6.6,127,8.4,62.7,40.5
S006,Section A,2.85,28.0,85.9,4.8,410,9.2,70.0,61.0
S007,Section A,2.78,5.3,83.9,7.9,241,6.3,77.8,54.8
S008,Section A,2.68,9.7,97.2,6.7,352,10.0,90.8,49.2
S009,Section A,3.18,9.8,86.9,6.0,293,9.1,96.5,47.9
S010,Section A,2.49,8.1,85.4,7.1,295,7.8,86.4,60.8
S011,Section A,2.6,8.8,90.3,8.4,321,6.2,94.8,52.8
S012,Section A,2.0,4.6,85.7,6.7,51,9.1,75.1,54.7
S013,Section A,3.14,8.5,81.8,8.0,250,7.5,89.0,57.5
S014,Section A,2.43,4.5,89.7,7.3,203,8.1,77.6,40.3
S015,Section A,2.89,7.8,90.9,6.8,384,8.8,84.5,63.2
S016,Section A,2.93,7.5,80.5,7.1,241,9.6,86.6,57.3
S017,Section A,2.73,6.6,87.7,7.5,162,7.6,79.8,55.2
S018,Section A,2.42,6.0,93.3,7.0,224,7.9,73.9,40.0
S019,Section A,2.83,4.9,75.0,7.5,352,9.5,79.0,41.7
S020,Section A,2.95,7.2,93.6,8.5,318,6.9,84.9,59.8
S021,Section A,2.66,6.9,89.5,8.1,195,6.8,89.6,52.1
S022,Section A,2.3,9.7,92.2,6.2,417,7.9,79.1,38.8
S023,Section A,2.32,6.5,85.3,6.6,211,6.5,80.7,41.4
S024,Section A,3.28,6.0,89.4,5.8,290,10.0,82.2,51.7
S025,Section A,2.99,6.1,86.1,7.4,217,8.4,88.7,57.2
S026,Section A,3.01,4.9,82.7,6.8,274,9.5,84.4,58.4
S027,Section A,3.28,9.2,85.1,7.7,372,8.6,85.2,59.8
S028,Section A,2.64,5.6,91.3,7.5,241,10.0,74.1,46.3
S029,Section A,2.41,6.1,90.8,6.2,312,9.1,85.2,53.8
S030,Section A,3.16,8.1,82.6,6.9,362,8.6,83.5,59.0
S031,Section A,2.9,7.5,94.5,6.8,258,8.8,86.2,51.9
S032,Section A,2.94,3.0,78.8,6.8,244,6.6,75.9,48.1
S033,Section A,2.28,5.8,85.4,7.3,244,8.9,80.4,55.4
S034,Section A,2.67,3.3,87.9,6.1,259,10.0,78.3,38.0
S035,Section A,2.43,1.0,90.8,7.3,134,10.0,82.0,44.9
S036,Section A,3.54,13.9,85.8,6.3,386,10.0,84.3,68.2
S037,Section A,2.77,4.4,82.7,7.6,362,9.8,81.1,49.2
S038,Section A,2.56,8.2,88.2,7.3,345,9.0,83.2,50.8
S039,Section A,2.57,10.8,85.7,6.9,328,10.0,86.1,51.0
S040,Section A,2.8,7.8,86.1,7.4,334,8.7,79.8,52.7
S041,Section A,2.93,1.0,90.8,8.2,128,9.1,72.3,36.8
S042,Section A,3.01,3.2,88.1,6.3,232,7.5,88.1,54.6
S043,Section A,2.01,7.6,90.7,9.2,247,7.3,90.8,52.1
S044,Section A,2.47,8.6,81.9,6.9,313,9.1,83.1,43.0
S045,Section A,2.81,10.8,91.7,7.2,247,9.8,90.9,54.7
S046,Section A,2.8,7.3,87.9,6.9,251,7.9,88.1,51.9
S047,Section A,2.4,7.2,81.1,7.4,264,10.0,79.9,41.9
S048,Section A,2.7,9.0,86.1,6.7,366,8.3,91.9,45.3
S049,Section A,2.87,6.2,85.5,7.5,321,9.7,82.7,54.1
S050,Section A,2.23,5.1,92.4,8.2,260,10.0,87.4,58.3
S051,Section A,3.23,5.2,86.9,6.6,291,10.0,89.0,49.7
S052,Section A,2.84,7.7,84.5,5.9,171,9.5,87.4,56.7
S053,Section A,2.62,4.3,89.1,6.4,200,7.1,78.4,45.2
S054,Section A,2.13,7.5,81.3,6.9,168,9.0,79.7,38.9
S055,Section A,2.48,1.8,84.1,5.9,236,10.0,75.1,42.1
S056,Section A,2.69,4.6,88.0,8.4,268,9.5,89.8,48.3
S057,Section A,2.27,5.1,92.0,6.2,104,5.6,87.0,51.3
S058,Section A,2.77,5.5,87.5,8.0,274,9.1,91.3,52.1
S059,Section A,2.86,5.2,88.6,7.6,179,9.4,91.6,57.8
S060,Section A,2.54,8.2,84.0,6.6,303,8.9,89.3,46.5
S061,Section A,2.67,7.4,84.8,6.8,160,9.3,93.9,61.0
S062,Section A,2.73,9.9,89.3,6.7,311,6.6,94.3,66.4
S063,Section A,2.06,6.4,85.5,5.8,244,8.8,72.8,35.0
S064,Section A,2.94,3.7,84.5,7.6,281,6.6,79.7,59.0
S065,Section A,2.8,4.5,89.9,7.9,175,6.7,80.5,49.0
S066,Section A,3.66,4.2,87.6,7.6,167,5.0,84.3,65.1
S067,Section A,2.2,6.9,81.9,6.8,200,8.1,77.1,43.8
S068,Section A,2.41,10.6,92.9,8.5,367,9.4,86.0,47.4
S069,Section A,2.98,5.8,83.9,8.9,367,9.8,84.3,45.0
S070,Section A,2.83,10.2,84.6,7.1,289,8.4,90.0,55.1
S071,Section B,2.87,8.0,86.1,6.7,348,9.4,88.3,60.7
S072,Section B,2.68,7.8,90.6,7.4,228,7.5,95.0,63.8
S073,Section B,3.19,14.3,88.6,6.9,385,5.8,92.2,62.1
S074,Section B,2.77,4.8,85.7,7.0,336,10.0,86.7,55.2
S075,Section B,2.64,9.2,92.2,7.0,237,7.2,93.6,58.6
S076,Section B,3.22,10.6,97.4,7.3,351,9.2,93.7,72.2
S077,Section B,2.74,5.1,87.7,7.6,182,9.4,89.8,60.0
S078,Section B,3.55,11.5,87.1,8.2,313,9.1,100.0,66.0
S079,Section B,2.7,7.1,94.7,7.5,287,8.7,80.8,57.5
S080,Section B,2.51,9.7,88.5,6.9,234,9.5,87.8,47.3
S081,Section B,3.15,13.2,91.5,5.2,432,6.5,86.6,55.1
S082,Section B,3.17,12.0,78.9,7.2,357,9.7,90.5,61.1
S083,Section B,2.89,11.7,88.0,8.1,298,6.7,100.0,70.2
S084,Section B,3.55,4.1,94.4,6.4,190,8.5,89.1,57.0
S085,Section B,2.67,6.9,84.9,8.1,266,8.9,93.3,57.0
S086,Section B,2.13,7.3,82.0,7.0,318,9.8,83.0,46.1
S087,Section B,3.13,6.8,94.9,6.8,215,7.4,79.3,59.1
S088,Section B,3.01,13.1,100.0,7.1,372,6.3,98.5,63.5
S089,Section B,2.25,3.4,90.0,8.5,125,10.0,76.4,49.0
S090,Section B,3.68,10.4,96.0,6.7,336,8.4,100.0,70.2
S091,Section B,3.37,6.7,89.3,7.0,192,9.7,89.9,63.3
S092,Section B,3.12,10.4,86.8,6.8,319,10.0,97.4,70.3
S093,Section B,3.03,9.6,92.2,6.2,244,9.7,100.0,64.5
S094,Section B,2.5,6.4,95.5,6.5,206,8.1,75.9,48.2
S095,Section B,3.25,8.7,92.2,7.5,184,10.0,88.7,66.7
S096,Section B,3.3,11.0,91.5,5.7,303,9.3,85.8,56.1
S097,Section B,2.52,10.9,89.9,6.0,342,7.3,96.0,57.3
S098,Section B,3.39,9.8,87.3,8.3,442,8.8,100.0,72.8
S099,Section B,3.24,10.4,86.6,7.0,222,7.8,89.3,64.5
S100,Section B,2.99,7.4,92.9,7.9,132,5.3,95.3,73.7
S101,Section B,2.51,6.4,87.5,7.5,164,7.0,83.0,55.9
S102,Section B,2.93,7.2,80.4,7.7,173,8.8,93.2,67.2
S103,Section B,2.76,9.8,85.4,7.3,335,8.6,90.8,58.7
S104,Section B,3.04,15.7,94.2,7.1,397,10.0,100.0,56.6
S105,Section B,3.3,7.3,97.0,6.1,338,7.0,91.9,60.7
S106,Section B,3.22,12.0,100.0,6.4,336,10.0,92.8,66.9
S107,Section B,1.98,6.2,82.8,8.3,97,6.4,80.7,53.4
S108,Section B,3.13,10.5,95.4,6.8,450,10.0,87.9,56.9
S109,Section B,3.04,8.2,93.6,7.9,249,6.7,83.9,64.1
S110,Section B,3.0,8.2,90.3,7.9,273,5.9,93.2,62.8
S111,Section B,2.7,8.8,91.8,7.5,275,8.0,97.3,56.9
S112,Section B,2.68,8.0,87.0,7.3,293,8.0,79.4,57.8
