customer_id,tenure_months,monthly_charges,contract_type,autopay,internet_service,support_tickets_90d,late_payments_6m,streaming_tv,online_security,senior,region,avg_data_gb,satisfaction_score,retention_offer_last30d,cancellation_request_flag,exit_survey_completed,churn_next_30d
C100001,33,79.2,One-year,No,Fiber,1,0,Yes,Yes,No,South,127.4,7,No,No,No,No
C100002,33,98.81,Month-to-month,No,Fiber,2,2,Yes,Yes,No,South,213.5,4,Yes,No,No,No
C100003,30,35.2,Two-year,Yes,DSL,0,1,No,No,No,South,162.7,7,No,No,No,No
C100004,64,70.51,Two-year,No,Fiber,1,0,Yes,No,No,East,252.5,7,No,No,No,No
C100005,28,59.56,Month-to-month,Yes,DSL,0,0,No,No,No,East,328.0,7,No,No,No,No
C100006,35,86.38,One-year,Yes,Fiber,1,2,Yes,No,No,East,240.2,8,No,No,No,No
C100007,51,62.2,Two-year,No,Fiber,0,1,Yes,Yes,No,East,99.4,9,No,No,No,No
C100008,48,71.41,Month-to-month,Yes,Fiber,2,0,Yes,No,No,West,183.2,6,No,No,No,No
C100009,7,51.28,Two-year,No,DSL,3,0,Yes,Yes,No,South,92.1,9,No,No,No,No
C100010,50,84.35,Two-year,Yes,Fiber,1,1,Yes,Yes,No,South,201.9,5,No,No,No,No
C100011,5,30.99,Month-to-month,Yes,None,0,0,Yes,No,No,East,244.1,7,No,No,No,No
C100012,4,67.22,Two-year,No,DSL,1,2,Yes,Yes,No,North,157.6,8,No,No,No,No
C100013,20,67.63,One-year,Yes,DSL,2,0,Yes,Yes,No,North,92.3,6,Yes,No,No,No
C100014,17,35.42,Month-to-month,Yes,None,1,1,Yes,No,Yes,South,180.1,8,No,No,No,No
C100015,28,80.03,Month-to-month,Yes,DSL,2,1,Yes,No,Yes,North,282.0,5,No,No,No,Yes
C100016,69,85.76,Month-to-month,Yes,Fiber,1,1,Yes,No,No,South,253.9,8,No,No,No,No
C100017,6,87.68,One-year,Yes,Fiber,1,1,No,No,Yes,West,141.5,7,No,No,No,No
C100018,22,66.59,Month-to-month,Yes,Fiber,3,1,Yes,No,No,North,135.9,6,No,No,No,No
C100019,45,86.37,One-year,No,Fiber,4,1,Yes,Yes,No,South,154.0,7,No,Yes,Yes,Yes
C100020,48,60.84,Month-to-month,Yes,DSL,1,1,Yes,No,No,North,231.4,6,No,No,No,No
C100021,23,69.54,One-year,Yes,Fiber,1,1,No,Yes,No,North,231.6,8,No,No,No,No
C100022,51,65.39,Month-to-month,Yes,Fiber,2,1,Yes,No,Yes,North,158.1,7,No,No,No,No
C100023,9,46.55,One-year,No,DSL,2,1,No,No,Yes,North,295.8,7,No,Yes,No,Yes
C100024,54,62.55,Two-year,No,Fiber,3,1,No,No,No,East,192.1,5,No,No,No,No
C100025,72,34.13,One-year,No,DSL,3,1,Yes,Yes,Yes,West,140.5,8,No,No,No,No
C100026,6,52.28,Month-to-month,No,DSL,2,0,No,Yes,Yes,East,113.8,5,No,No,No,No
C100027,57,50.98,One-year,Yes,Fiber,0,0,No,No,No,West,236.7,8,Yes,No,No,No
C100028,40,62.39,One-year,No,Fiber,3,3,Yes,No,No,West,169.1,6,No,No,No,Yes
C100029,41,53.47,Month-to-month,No,DSL,3,0,Yes,No,No,South,253.4,7,No,No,No,No
C100030,9,18.0,Month-to-month,Yes,None,5,1,No,No,No,South,127.4,7,No,No,No,No
C100031,68,49.52,Two-year,No,DSL,1,0,No,Yes,No,East,179.1,7,No,No,No,No
C100032,42,39.64,Month-to-month,Yes,Fiber,2,1,No,No,No,North,285.0,10,No,No,No,No
C100033,46,85.27,Month-to-month,No,Fiber,1,0,Yes,Yes,No,West,146.1,7,No,No,No,No
C100034,48,60.71,Two-year,Yes,Fiber,0,1,No,Yes,No,East,114.4,6,No,No,No,No
C100035,51,38.81,Month-to-month,No,None,0,0,No,No,No,East,214.5,9,No,No,Yes,Yes
C100036,64,70.06,Month-to-month,No,DSL,6,3,No,Yes,Yes,North,298.3,4,No,No,No,No
C100037,18,45.84,Two-year,No,None,1,0,Yes,No,No,West,231.5,8,No,No,No,No
C100038,2,32.93,Month-to-month,Yes,None,2,0,No,Yes,No,East,231.1,9,No,No,No,No
C100039,47,35.99,One-year,Yes,None,0,1,Yes,No,No,South,57.6,7,Yes,No,No,No
C100040,4,78.69,Two-year,Yes,Fiber,3,0,No,Yes,No,East,110.2,6,No,No,No,No
C100041,21,88.07,Two-year,No,Fiber,0,1,Yes,Yes,No,South,63.1,6,Yes,No,No,No
C100042,48,90.92,One-year,No,Fiber,1,0,Yes,Yes,No,East,256.9,9,No,No,No,No
C100043,59,55.94,Two-year,Yes,DSL,3,1,Yes,No,No,North,236.1,7,No,No,No,No
C100044,19,83.55,Month-to-month,No,DSL,2,1,Yes,Yes,No,East,341.9,7,No,Yes,Yes,Yes
C100045,52,62.47,Month-to-month,Yes,DSL,0,1,Yes,No,No,East,194.0,8,No,No,No,No
C100046,47,74.6,Month-to-month,Yes,Fiber,2,1,Yes,Yes,No,East,211.9,6,No,No,No,No
C100047,2,71.48,Month-to-month,Yes,Fiber,1,0,Yes,No,No,West,188.0,6,No,Yes,Yes,Yes
C100048,6,68.54,Month-to-month,Yes,DSL,1,0,Yes,Yes,No,North,154.7,5,No,No,No,No
C100049,65,58.05,Month-to-month,Yes,DSL,0,1,No,Yes,Yes,East,284.8,6,No,No,No,No
C100050,12,79.64,Month-to-month,Yes,Fiber,2,0,Yes,No,No,South,152.5,6,No,Yes,Yes,Yes
C100051,35,60.31,Two-year,No,Fiber,3,2,No,No,No,South,220.2,7,No,Yes,No,Yes
C100052,4,78.52,Two-year,Yes,Fiber,1,0,Yes,Yes,No,East,31.9,8,No,No,No,Yes
C100053,34,84.81,Month-to-month,No,Fiber,2,0,No,Yes,No,North,198.8,6,No,No,No,No
C100054,61,50.69,One-year,Yes,Fiber,0,0,No,No,No,West,223.1,8,No,No,No,No
C100055,32,65.03,One-year,No,Fiber,1,0,Yes,No,No,North,69.1,9,No,Yes,No,Yes
C100056,35,45.13,Two-year,Yes,DSL,0,2,No,Yes,No,East,257.6,6,No,No,No,No
C100057,24,61.76,One-year,Yes,DSL,3,0,No,Yes,No,East,209.7,7,No,No,No,No
C100058,38,54.19,Month-to-month,Yes,DSL,2,0,No,Yes,No,West,220.2,9,No,No,No,No
C100059,8,83.29,Month-to-month,No,DSL,1,2,Yes,No,Yes,East,262.8,6,No,No,No,No
C100060,37,76.54,Two-year,Yes,DSL,0,0,Yes,Yes,No,South,168.4,7,No,No,No,No
